Model Type,MSE,MSE Confidence Interval,MSE Standard Deviation,Baseline MSE
gradient_boosting,17.396138175340234,(8.27889731125909, 28.706724559381666),5.188099553698099,35.74298095703125
random_forest,16.545871408159005,(9.683447450511762, 24.511264632943895),3.8295924092248788,35.74298095703125
cnn,39.649070739746094,(19.368737936019897, 62.38860759735107),10.595680236816406,35.74298095703125
lstm,37.746482849121094,(20.137401008605956, 59.90505743026733),10.319995880126953,35.74298095703125
