slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity,torsion
3,10.0,8.774277138896213,55.58305445541548,22.96086594043337,3.7594218037819926,2.7495244440292184,0.6819808784462027,77.83807607395457,0.9418960244648318,31.217042883148565
5,10.0,14.64256542128805,18.304355348380778,20.91013069769419,4.857919321042066,3.6802615813169455,0.6527413049717588,58.44294991069423,0.9748653500897666,29.314752270933898
6,10.0,12.39137108588304,-31.21662540301253,20.02473157101725,3.4819645412169624,4.266077210486157,0.5777736442999358,10.750702797977423,0.956896551724138,44.372906091325106
7,10.0,16.4102393374445,-60.82523939131524,19.238122823692585,5.200430055924962,3.826688986174641,0.6771533639914196,85.00670528416279,0.9789983844911146,53.767984162576546
8,10.0,8.400944009164695,-24.90602888560677,18.550079622448745,2.4164611663137534,4.185928480835365,0.8165454278263542,34.835069476404335,0.9233128834355828,32.141537553083936
9,10.0,21.18435469017037,50.015814193633496,17.959722700309193,4.976544126000538,5.374607046872257,0.377682764511999,2.006161894658096,0.9391812865497076,21.37132505939921
10,10.0,38.62421967406829,19.48284081511916,17.469237170308933,5.789153509756208,8.299999064856268,0.7165969822259438,3.5593665758288378,0.9435431537962362,19.547468922473232
11,10.0,36.94577264738818,-7.16301135966369,17.080373856451498,5.508969084726062,8.486877409882446,0.7606901030139136,3.954337560697712,0.9416107382550336,6.501507087581333
12,10.0,39.13984642754214,-3.625880589293873,16.780272752708616,5.267100676776697,9.579269078439562,0.8352680829054229,1.8535837600434468,0.9354640442532268,1.022192150863736
13,10.0,38.89026006718083,-0.8171943869159326,16.555571785790665,5.1192909347193885,9.81495097973761,0.8532022844821564,2.651553131723912,0.9550561797752808,1.5530716759680576
14,10.0,34.004944416872,1.2396788018679907,16.406813913003965,5.059692616208118,8.881860112161583,0.821876942831679,1.5727118314528954,0.9265419265419266,1.5671980716238345
15,10.0,34.56238394600978,2.53897437189691,16.334353208022705,5.000757559661305,8.822421101878566,0.8238396558999613,0.7583869061863526,0.9816715542521994,2.344445732888198
16,10.0,28.38943504776089,3.2953478806473107,16.33836057657663,4.735944980737432,7.850162634213339,0.7975205804236338,5.989408416964491,0.9151414309484192,3.4713634803852784
17,10.0,41.31833328688849,3.723607366038525,16.418826593790936,5.731121495933588,9.276839587177196,0.7863452751010196,1.1418838705944123,0.9451003541912631,2.2402851722924955
18,10.0,42.36621495588608,3.8245638872719576,16.575561346362615,5.7617867996516905,9.469745310030628,0.7935993269371265,5.407854823668143,0.9471264367816092,3.393032182443541
19,10.0,36.003617963252616,3.5984351551425777,16.808191286024996,5.249528728774285,8.691835390548423,0.797014594284848,3.5758790558495632,0.9423076923076924,2.045932242767805
20,10.0,39.01007827778851,3.223549881971107,17.072121649366927,5.290043648473357,9.190296478967404,0.8177236237925357,0.0619884468049403,0.9628180039138944,2.903276853705661
21,10.0,38.96456488068219,2.878513426350465,17.323163392159273,5.338258996675832,9.04941004471317,0.8074759496502527,1.7244963375405458,0.9564085881587508,2.1023429767959336
22,10.0,38.91873770201194,2.5634088719355543,17.5614085665043,5.387640735613144,9.0863297974631,0.8052478815845019,3.806698870914095,0.9344262295081968,1.7918497877761448
23,10.0,40.73372604653255,2.2783026585571107,17.786946421090285,5.869574654844439,8.850323151813221,0.7484390151588874,2.1347788444968483,0.9636923076923076,1.976231717826199
24,10.0,43.41046923512893,2.0232471129993854,17.99986311630205,5.866432022734469,9.59157132147353,0.7911495112991234,4.648820062814077,0.9458100558659218,2.529143734900281
25,10.0,42.21609464911596,1.7982827606889624,18.200241463511272,5.5741204789566,9.791394606128174,0.8221389398376475,5.986023606706497,0.9787860931054804,3.6224016465649727
26,9.0,46.19623371728402,1.6034404089820986,18.388160687068503,5.93317173032197,9.953556556461203,0.802921517750194,0.7976674491319896,0.9543281996813596,1.956678864904813
27,9.0,45.35126241585807,1.4387429949753054,18.56369620758048,5.994737645030595,9.57390991476334,0.7797004851175453,0.9427999464776412,0.9673852957435048,1.7892770946027265
28,9.0,42.88885749792748,1.3042071925984613,18.726919445123603,5.786592675451894,9.375785048037711,0.786818857664359,1.850966587014491,0.9628975265017669,1.7355739620690551
29,9.0,41.03746417080124,1.1998447752177872,18.877897641116736,5.622405742592368,9.067768716312852,0.7845685901732764,0.9626888367112632,0.9400611620795108,0.46466812017356834
30,9.0,43.41162882341914,1.1256637311192448,19.01669369765221,5.661051930705463,9.687268064033374,0.8114802721514781,0.0295691835426969,0.9480593607305936,1.434360725827813
31,9.0,46.38714362221175,1.0816691301073371,19.14336603316223,6.115339830567296,9.654303699560112,0.7737995235963244,0.2437207664865394,0.931664058424622,1.71193371279679
32,9.0,47.70181236803367,1.06786374008824,19.257968453378695,6.134964080846284,9.938817868859942,0.7867497076908161,1.0254218062432603,0.9574688796680498,2.129009601741395
33,9.0,47.89671786277927,1.0842483929601867,19.360550036625963,6.269300024100835,9.753223755288944,0.7660410220109072,3.757981513289865,0.9873217115689382,2.618541701161246
34,9.0,49.15264971237253,1.130822099459464,19.451155032568963,6.732859944897886,9.399442984341038,0.697789243548024,3.678995783010716,0.966297786720322,2.4714787227766806
35,9.0,47.93060533780051,1.1905288947406525,19.53524760592052,6.269906048108813,9.750947171501696,0.7658628922723543,6.573059100888287,0.9723814486711828,3.902478662199465
36,9.0,46.68009470957665,1.2463146690877696,19.618266770473287,6.328596967363345,9.56984068419318,0.7501167062462973,6.599935618782672,0.9750795334040296,3.538741316758939
37,9.0,50.20343587060035,1.2981798029648135,19.70021535960586,6.711621795206697,9.578791425901697,0.7134813419017282,0.8329613235709403,0.958904109589041,2.9751230354204163
38,9.0,46.96830918960504,1.346124683409336,19.781096187428123,6.357253388876828,9.407043701587332,0.7370885263476676,0.1819396230242506,0.99130907115698,2.8300414736805153
