slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity,torsion
1,10.0,40.67796023871839,-0.8924381433911444,16.591699418114565,6.358829531375485,8.191955497078501,0.6304507196988541,11.874628155581256,0.9845297029702972,7.962257109326623
2,10.0,40.89307591302459,-0.9053187422448298,17.093812498136813,5.716416787904353,9.001299644294745,0.7724576087374777,2.8589574013758314,0.9543239951278928,3.5846055454806263
3,10.0,39.55599509978335,-0.9184873885789148,17.583392047905093,5.645888932850442,8.76233474538075,0.7647418757710907,5.255887833508369,0.961612284069098,3.519509753586669
4,10.0,41.25912362055175,-0.9319440746775576,18.060545369964228,6.038660997501008,8.664881581684249,0.7171558794054645,3.6222679038796968,0.95956547978274,2.933530199798897
5,10.0,36.62849643943056,-0.945688792499034,18.525384417004144,5.9516083466330185,8.004038646429857,0.6686510014156147,0.6964469082951535,0.937953795379538,3.722150636279235
6,10.0,37.9969942807569,-0.9597215336655508,18.97802511078678,5.692544720846092,8.389343619917863,0.7345584978033198,2.867070674622337,0.9490196078431372,3.7237788382180077
7,10.0,38.48384801901031,-0.9740422894528477,19.41858669980309,5.639682776134906,8.537129880307337,0.7507318544614681,0.3513956137623101,0.958634274458306,4.346663689187761
8,10.0,39.24848369686421,-0.9886510507795684,19.847191155085405,6.049802373583,8.245937195894145,0.6795044417442887,10.8659032512321,0.96875,8.18834929929517
9,10.0,39.22440034955243,-1.0035478081964342,20.26396260338281,6.3250792350386575,8.025538138990836,0.6155219010149611,9.380597911990014,0.9802924348378894,5.865397239808978
10,10.0,39.92381138063686,-1.018732551875187,20.66902679672435,5.919048865201551,8.490172803704178,0.7169103324922903,0.7560691676811226,0.9707936507936508,4.727033510559232
11,9.0,35.05085018801701,-1.0342052715973216,21.06251061724674,5.7278530248975095,7.704334248853647,0.6687812359734878,2.013743435270641,0.9512544802867384,4.153801857895775
12,9.0,37.779801047317335,-1.0499659567426016,21.4445416160437,5.848716748349609,8.284165657660711,0.7081996234183459,7.20763256900188,0.969676994067238,5.020255729313619
13,9.0,37.03214082999277,-1.0660145962773595,21.81524758470235,5.700902887537193,8.2720553687007,0.7245932501665362,2.269996180347558,0.9690026954177896,4.150320758011131
14,9.0,35.915411686995355,-1.0823511787425784,22.174756158124172,5.550123606481987,8.071616521617731,0.7260796645879231,0.0177627269744922,0.9603960396039604,5.659310189459416
15,9.0,33.492425431810744,-1.0989756922417653,22.523194447181144,5.62869690034956,7.487706671320839,0.6594757832261399,11.383242836161754,0.9602400600150036,7.380640069430394
16,9.0,40.36456512975424,-1.1158881244285994,22.86068869973005,5.908188870601241,8.829221246437333,0.7431150024509291,9.09862447282941,0.9547920433996384,5.555381836927986
17,9.0,38.33467246907348,-1.1330884624943744,23.18736398849579,6.013131552346468,8.07333202756106,0.6672712172249282,2.089198004992211,0.985313751668892,4.061162961456124
18,9.0,37.8288330355322,-1.1505766931552175,23.50334392433698,5.579159675911051,8.467320746273058,0.7522256354998336,3.332402646242603,0.9708474576271188,3.410012041198018
19,9.0,35.60754152787156,-1.1683528026391006,23.80875039342089,5.593066825380893,8.059487118552799,0.7200003322257871,6.736090147354614,0.9499304589707928,3.9675798506948694
20,9.0,36.54086376059553,-1.1864167766726332,24.10370331685901,5.417659612957798,8.721579213196911,0.7836684386410054,1.9872235968927288,0.9676331759946056,2.1494910128372218
21,9.0,39.15428857637399,-1.2047686004676423,24.388320431386536,6.122882547511583,8.22681710585626,0.6678903281845149,3.983341685212475,0.9577553593947036,1.9574787175700354
22,9.0,37.41577127657824,-1.223408258707536,24.66271708970825,5.824427551480555,8.114143984896558,0.6962365646519485,0.8453400247386352,0.9590329079919409,2.8514670462955958
23,9.0,40.18001954409391,-1.242335735533458,24.927006079177545,5.885436819762551,8.604629193135795,0.7294955035107877,5.550148005530978,0.9728877679697352,3.0571725095131526
