slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity,torsion
23,8.0,1.2242372261145964,17.709736214712873,22.47741096793318,0.6576327859112476,0.9352045320371628,0.7109946380280647,2.650463258262844,1.0,52.1571109010439
26,8.0,21.45939962849413,0.5454531966932648,-9.45383466736603,5.486832898673515,4.921783620457283,0.4419973493990262,90.0,0.9903614457831326,67.61976257502985
28,8.0,5.756479967362212,-6.973867053736568,26.48385223447589,3.1645242023327174,2.087775240635272,0.7514911536019196,69.74864036284887,0.9339622641509434,55.842631221668604
30,8.0,16.609022846785216,-11.001426503926014,33.98281638781272,4.154918047555982,4.850289667160808,0.5159249282175902,0.6268444014543187,0.982484076433121,29.872160362454697
31,8.0,23.16565700353389,-11.75214901464912,32.700789702298486,4.930863230290688,5.8412143933326846,0.5361052043115474,16.495001677314516,0.9711111111111111,30.17943437429797
33,7.0,28.7354654540132,-10.784951723068671,30.59665840368754,5.476489871991488,6.452258452709954,0.5287592936632425,0.2604556431719478,0.973826714801444,20.276875982075637
34,7.0,35.213607204147515,-9.051352293329522,29.79956886094132,5.694389132260883,7.65469727043879,0.6682814441256167,3.106690125291185,0.9786607799852832,7.8202144505168105
35,7.0,23.270003569588678,-7.035545236802703,29.12910931475464,4.6428832963628,6.242817697390616,0.668494926047597,7.668047301772651,0.9713656387665198,10.831256156145903
36,7.0,30.34097469478516,-5.316412879745589,28.53364281273824,5.73583701450358,6.613978995991292,0.4979073373483874,25.578765882803967,0.9672544080604534,17.989151758220224
37,7.0,34.547961526606166,-3.9031658282408768,28.01604018689409,5.989815710677849,7.262463151592343,0.5654764209216824,4.280152136418365,0.9532374100719424,9.842415739128404
38,7.0,10.258166135327173,-2.8013614536261007,27.578767148128364,3.135720195089828,4.024235572693454,0.6267633570935678,30.561067281638437,0.9694656488549618,21.227926376239722
39,7.0,36.30343209039005,-2.014036059918792,27.22388290753491,5.883905042140603,7.962002157645158,0.673706644958125,9.6258750568788,0.956641431520991,9.375758776513543
40,7.0,35.611611652627744,-1.5426525891767562,26.953041348615876,5.600059024467903,8.129759371048078,0.7249179696996436,5.84803758264122,0.9706703910614524,6.001332319158505
41,7.0,38.466429666784926,-1.3878027381802711,26.76749360211336,6.11908182106433,7.971476997686084,0.6409018550875891,2.9979674718772724,0.9750328515111696,6.867647963796917
42,7.0,48.19487813448262,-1.3910629249688609,26.57937292139771,6.737383722962071,9.069383098572471,0.6694335482966519,6.010873428181895,0.9794086589229144,2.8314227370555503
43,7.0,45.60948679083158,-1.3938608201169385,26.29951025770088,7.15196373209027,8.273537532318166,0.5027372736689262,2.911702243452468,0.9468027941966684,2.565468302175333
44,7.0,42.266896417682645,-1.3961964269030511,25.92658392880808,6.176609164489926,8.816285897431543,0.7135625555020654,4.0636065644027,0.9677985948477752,2.499085755682887
45,7.0,42.43592953723228,-1.3980697480724762,25.45885249808824,6.487014455886222,8.281499566749458,0.6216252946232667,0.8595184848994186,0.9644760213143873,3.2104754655195173
46,7.0,43.7258108444868,-1.3994807858326626,24.894165303794274,6.738699253764142,8.302887634052269,0.5841997727314708,8.978652224658198,0.9725557461406518,6.9905937578961
47,7.0,45.98802698453628,-1.400429541849585,24.22997843462666,6.338275502474691,9.16318121764953,0.7221735418369889,1.3530360473190128,0.9586056644880174,2.8525636547594977
48,7.0,40.74957601334938,-1.4009160172449864,23.46337818454137,6.082950751189848,8.317458436892942,0.682004467791572,1.102093194499342,0.9772007599746676,2.6470861927881546
49,7.0,47.991584636642216,-1.4009402125945338,22.72396111065645,6.350291030914641,9.635155166203871,0.7520765566013167,1.6383942659996542,0.945121951219512,3.011236787230672
50,6.0,40.89897584892066,-1.4005021279268677,22.14698033270102,6.103381130249563,8.489421910100837,0.6950718873200465,7.102412647533219,0.9638701775872628,4.882005633777229
