slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity,torsion
1,11.0,39.738068900272175,2.4888566446668325,13.615409876188822,6.108029575486013,8.296470880738093,0.6767415672907707,10.444424199520832,0.9507085643869376,4.293994115441396
2,11.0,44.07603044871024,2.551869676798304,13.897727626783013,6.243569701817703,8.976285864500754,0.718464990647815,9.974065170566638,0.9677236693091732,4.022044724035261
3,11.0,44.17911894441499,2.612995675897828,14.173813863228393,6.56211444907443,8.70857536207574,0.6574206863239974,5.540478213432008,0.9786516853932584,4.244892065953824
4,11.0,42.13020236336262,2.6722350465132103,14.443698284010344,6.336559663327103,8.484244657140424,0.6649785977775716,2.9367468682396614,0.9813589897775106,6.5384036614248755
5,11.0,38.90989115475662,2.729588201118712,14.70741116403394,6.117186887438651,8.037428896643751,0.6486486604953937,14.120979778291884,0.9473015873015872,6.3440474011455805
6,10.0,41.32566657094114,2.785055558190938,14.96498326178348,6.378617487092977,8.199578797340411,0.6283625817644377,4.837783736938563,0.959731543624161,6.821575622233794
7,10.0,40.03929168268654,2.838637540347614,15.21644573030573,5.962849927196928,8.352743411455295,0.7002684170196898,11.933172079237291,0.9668789808917198,4.769379435003014
8,10.0,38.75650279629059,2.890334572549161,15.461830031953346,5.948008535779035,8.160105656356455,0.6846056876249859,11.439348194463664,0.972313777191826,3.7581760512571853
9,10.0,36.862940870321616,2.9401470803629937,15.70116785681753,6.018867424707189,7.712315320764558,0.6252514565983296,20.18335728397183,0.9637234770704995,9.249165178677975
10,10.0,38.79369972320195,2.9880754882903866,15.934491044771926,6.311284766279804,7.853052347977989,0.5950707690764313,10.340525811078331,0.9660038486209108,3.9503517695626207
11,10.0,38.236132841088576,3.0341202181558526,16.16183151104432,6.047425845352349,8.230493104496533,0.6783281733021126,14.368553102986326,0.932626325639426,3.2235868355452255
12,10.0,41.19671699864437,3.078281687558857,16.38322117522771,6.421076417830946,8.17689858118985,0.6191523755275137,12.685769707058954,0.9627403846153846,3.0686132739259535
13,10.0,40.34326161056927,3.12056030838776,16.598691893638364,6.2566773655047285,8.139800396666939,0.6396661124972077,15.135065116127643,0.9573810994441012,3.4897823766122538
14,10.0,39.68285610461075,3.160956485395849,16.808275394925413,5.930656863706528,8.376000912913337,0.7061583578522516,10.248363880199824,0.9610472541507024,2.3370793327606045
15,10.0,40.244201562028046,3.199470614839332,17.01200321883395,5.917288103826834,8.512835300816608,0.7189108111384532,10.686406168251924,0.9573934837092732,1.710259158671253
16,10.0,41.41388552361826,3.23610308317712,17.209906658021957,6.1842556597856655,8.365317331332037,0.6734050431803129,11.54207776751698,0.9598051157125456,1.9266731229785403
17,10.0,41.97321648958963,3.270854265832284,17.40201670283011,5.971571537801798,8.800567503343212,0.7345594632360861,11.09478741582074,0.969147005444646,2.536908608351282
18,10.0,43.78810083029978,3.3037245260150407,17.588363988902994,6.130198872450726,9.11527182535063,0.740078956360736,8.574968837793127,0.9427777777777778,2.500483623482111
19,10.0,42.202767318801286,3.334714213607105,17.76897874756001,6.108828954086313,8.850338320715576,0.7235831884154336,9.138811146258709,0.9723040659988216,2.6699027209229507
20,10.0,44.00784302367038,3.3638236641072807,17.94389075881484,6.326453701352587,8.951809677455818,0.7074894970205396,2.051225748188663,0.962983735277622,7.569044525881748
21,10.0,42.57922578561097,3.391053197638172,18.11312930694288,6.584438641887956,8.29105548416243,0.6077058968015927,8.891920342405486,0.95830920671685,2.743780589152241
22,10.0,43.56578815294979,3.41640311801383,18.276723138497186,6.480075028442742,8.599009449893357,0.657351228235548,12.90066607058726,0.9700460829493088,4.44099148396253
23,10.0,41.09163307181039,3.439873711868247,18.43470042267516,5.909022534182252,8.700850097852348,0.7340161275055296,7.120467831557142,0.9768315591734502,3.752069618837613
24,10.0,40.44622759019442,3.4614652478445613,18.587088713939647,5.9595295217139,8.5469463576671,0.7168081536881615,12.169868735606409,0.9469790382244144,2.5771373975377925
25,10.0,42.81859979568178,3.4811779758448487,18.733914916800373,6.18634334814799,8.733465114024604,0.7058617149130003,11.385753715731967,0.9674748669426376,2.078050055934978
26,10.0,41.57254991840468,3.4990121263403804,18.875205252663577,5.972832289300097,8.714461191264453,0.7281727991593145,7.697305923111785,0.9753846153846154,3.327067115260963
27,10.0,43.41322599058111,3.514967909742254,19.010985228660505,6.254754630331836,8.812407826427265,0.7044362771808437,13.31786865623306,0.9453213077790305,3.3900616085536295
28,9.0,43.65322943230331,3.5290455158322938,19.141279608367658,6.238190998593935,9.00458035562034,0.7211488299450647,11.669178059316003,0.9727427597955708,2.2600718436645706
29,9.0,43.68015667013005,3.5412451132541145,19.26611238433447,6.0235804190684,9.313385196545964,0.7626882115224175,9.32942504868262,0.9385041551246538,2.3569874013830483
30,9.0,43.03625408266095,3.5515668490643053,19.385506752337346,5.973901423612875,9.310633870989866,0.7670212248453038,7.315310803627799,0.9614942528735632,2.850834935221355
31,9.0,42.258293124367725,3.5600108483435933,19.499485087281183,6.176962416079201,8.856030640279371,0.7165974516612811,10.706354340355478,0.9518002322880372,2.5120874039779886
32,9.0,42.01554691110381,3.566577213867992,19.60806892067337,6.240882388132236,8.541299301546163,0.6827289313793681,6.538859920866666,0.9510901591043016,2.0960828938470595
33,9.0,42.52874446075979,3.57126602583984,19.711278919597653,6.2918482656327175,8.50847636867442,0.6731780223860584,6.748334965136769,0.9503214494447692,2.1977107231687625
34,9.0,44.294781916090926,3.574077341678682,19.809134867118885,5.992958580101996,9.24647632114801,0.7615257128001215,9.490140258556131,0.9645308924485124,2.4259535534994257
35,9.0,46.65815760540875,3.575011195871984,19.901655644052678,6.2311894020091865,9.422737635571613,0.7501274507877406,8.220091471923554,0.9472843450479234,1.8698488234187087
36,9.0,44.83551175013793,3.574067599885609,19.988859212037145,6.138848750341959,9.124158806041304,0.7398126139843185,10.986567245963352,0.9583098591549296,3.9957700440081214
37,9.0,41.82180536592128,3.571246542134105,20.07076259784742,5.9172189837872216,8.83333906036873,0.7424749664086078,4.610194424507548,0.971341463414634,3.44482036815946
38,9.0,43.64026657274397,3.566547988010741,20.14738187889646,6.042748508506609,9.15869919266926,0.7514563656133499,8.639774746503752,0.9512471655328798,2.400777740708261
39,9.0,44.99624022355016,3.5599718799773146,20.21873216986948,6.1991623631306485,9.279027207015194,0.744086205207497,4.236247345103629,0.968227424749164,3.352192748939886
40,9.0,43.37828362774842,3.551518137713768,20.284827610442026,5.908476591492043,9.376802318940516,0.7765004142834614,6.009373529143793,0.9541595925297114,1.5802995576865893
41,9.0,47.01068858524212,3.541186658327603,20.34568135403555,6.162488859123994,9.844784107764433,0.7798509683737805,9.214456475957236,0.950259067357513,2.6450857676140687
42,9.0,49.43052914749328,3.528977316623162,20.401305557566896,6.399775391828664,9.974566891915911,0.7670312573404646,6.070274142185409,0.9597615499254843,1.3283626478326687
