slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity
0,11.0,39.87742798960433,1.8921183704561475,19.834622813500875,6.010382157233472,8.511770861041384,0.7080865310846889,0.8883064024667141,0.9414990859232176
1,11.0,40.51561802313112,1.8958016608908757,19.89013283512953,6.357958953155275,8.308068997143396,0.6437036145135379,0.9489335586544712,0.964869775893398
2,11.0,41.73963338617501,1.89932239470339,19.9446651188966,6.417092615098031,8.51581891618853,0.6573912865066432,6.596532952662265,0.9733885274985216
3,11.0,44.1457575189799,1.9026805738525556,19.99822154820937,6.648069258268784,8.61206563669934,0.6356856900159874,2.9638844299715608,0.9477160154100164
4,11.0,39.9054569748834,1.9058762002124912,20.05080397938828,6.392816273866436,8.059868669849998,0.6090054818844914,4.450921772983483,0.9540722596448254
5,11.0,38.6470992563654,1.908909275571784,20.102414241348207,6.257213649747102,7.971667186246652,0.6195827699124722,0.736655287137318,0.964467005076142
6,11.0,38.51771563671044,1.911779801632705,20.153054135289054,6.064106300831085,8.218072356090415,0.6749115972525619,4.187436156055967,0.9782894736842104
7,10.0,37.75357846325839,1.9144877800104836,20.20272543439508,5.688644545028998,8.42258846731645,0.7374487386161759,1.0644095411834893,0.9484670580560992
8,10.0,37.07467839981089,1.9170332122326188,20.251429883543118,5.8109224245790605,8.023473294564598,0.6895479892241024,4.021426341766317,0.9613034623217924
9,10.0,38.22622916722436,1.9194160997382248,20.29916919901913,5.76181001726407,8.35252094909865,0.723972717952346,6.779906927225039,0.9453480806766428
10,10.0,40.00421362376894,1.92163644387742,20.34594506824334,5.906178759219991,8.360539222928978,0.7077780401953779,0.0876643578015311,0.9798570500324886
11,10.0,40.58746838143675,1.923694245910749,20.3917591495034,5.977438701746185,8.485633056282694,0.7097849314590232,5.052959510170719,0.9782886334610472
12,10.0,41.17057618238075,1.925589507008657,20.436613071695653,6.447264728856721,7.998017655673165,0.5917690732174599,2.616428978606547,0.9715346534653464
13,10.0,39.96411230922288,1.927322228250988,20.480508434074167,6.115104252254006,8.146929552590775,0.6607545471639688,2.1535799571061967,0.9883344134802332
14,10.0,41.14382881829029,1.9288924106265295,20.52344680600756,5.875846003447055,8.711092043177128,0.738252587699213,3.566626394881547,0.9784810126582278
