slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity,torsion
0,11.0,41.66263451525512,3.2652003222958417,19.8784725458958,6.525343285131637,8.22772280234772,0.6091025226079461,7.111110601792508,0.9558823529411764,3.03021603436307
1,11.0,39.77007064741976,3.2893989304262754,20.27384047173753,6.057391392210134,8.476051024102949,0.6994851547843746,2.8905246412688173,0.9651957737725296,3.9805336139808163
2,11.0,42.246063446238885,3.31265220756163,20.660280697836704,6.315552880432979,8.39177217247427,0.6584917244070272,3.663360046985967,0.9543838862559242,3.0395767808701395
3,11.0,42.716555830111616,3.3349602787087966,21.037877554958243,5.947322786579225,8.861289276428378,0.7413151660579501,5.68879901403353,0.9877074370006146,2.5226553521229733
4,11.0,41.19759849696074,3.3563232652477586,21.406716480537792,6.124205820243219,8.572344633629863,0.6997236300196696,11.02096335818653,0.9451728247914184,6.097051819680858
5,11.0,43.01531952914951,3.376741284750957,21.76688376529037,6.258307420113876,8.871180017979233,0.7087453935297071,5.25761571256485,0.9567444507683552,2.4124292642188974
6,11.0,42.62855089938486,3.39621445081038,22.1184663149168,6.1872111612860685,8.726903919141868,0.7052280306061425,8.81535855357844,0.951247823563552,3.0454902647824156
7,11.0,41.04919327846516,3.4147428728724,22.461551426421625,6.288654042784439,8.163728401914712,0.6376627332341691,3.227811262602427,0.9702417854928704,4.743804336471979
8,11.0,39.86503944601036,3.432326656080333,22.796226578528437,5.844780367772147,8.454818989187594,0.7225725725803073,6.355857394232978,0.9710610932475884,2.4337077756089633
9,11.0,43.16784806112688,3.4489659011247067,23.12257923565834,6.24775590050014,8.844142077209913,0.7077848832209741,7.47937260037201,0.96496266513498,2.4207631507235505
10,11.0,41.86766628493044,3.4646607041012283,23.4406966649226,5.988245615046831,8.918414251534813,0.7410528520809371,8.900525975511627,0.9689737470167064,3.189724404705673
11,11.0,41.31331793814518,3.479411156376447,23.750665765570943,5.888065608314022,8.836125592016035,0.745628222451575,2.107583500641021,0.9843260188087776,5.819675763509912
12,11.0,41.04287763361258,3.493217344461088,24.052572910332582,5.75291013575845,8.966097892448055,0.7670155011195651,8.499946532727662,0.956601466992665,2.50467599743538
13,11.0,40.9774292613404,3.506079349891067,24.34650379808652,5.777670540998166,9.043922098831697,0.7693354215577016,6.594238134259627,0.9678398058252428,2.4975749274134085
14,10.0,40.94242012297332,3.5179972491161577,24.63254331730065,5.897957960938262,8.856712295832919,0.7460140481472672,9.733614947801692,0.9767441860465116,3.8241553616772923
15,10.0,40.58537262125246,3.5289711133963064,24.91077541968533,6.021892035934102,8.6122754489354,0.7149053163258231,4.424783768883708,0.980649188514357,3.1225106448965008
16,10.0,41.19853065893948,3.539001008705603,25.18128300351602,5.958947044675083,8.715793233815475,0.7297681925178345,7.57220564648345,0.9568913175470553,2.1560197154934504
17,10.0,41.52131607179099,3.5480869956438768,25.44414780609058,5.83335039570964,8.976918760106852,0.7600916173804978,6.257999933750929,0.9744058500914076,1.7721758332391557
18,10.0,42.282321051088594,3.5562291293559247,25.699450304799797,5.994112930640192,9.043842236479982,0.7488113027968897,6.625761287657898,0.9508670520231214,2.1999435757812704
19,10.0,42.15884416587738,3.563427459458352,25.94726962630381,5.9095187845203325,8.9997510740106,0.7542122332030456,3.1835361162226263,0.983030303030303,3.10415639012424
20,10.0,45.057639074495135,3.5696820299740426,26.187683463323417,6.152490248864158,9.274340377168642,0.7482757663147394,5.690206997401772,0.954244762954796,1.6723502771843062
21,10.0,41.89034678801558,3.5749928792742254,26.42076799857116,5.779669371069529,9.05847062061424,0.7700034778516435,1.319062526168387,0.9773700305810398,4.278778390658684
22,10.0,44.15088914377113,3.579360040028156,26.646597835364776,6.084152206823472,9.199279967971137,0.7500580377182058,6.531971466510286,0.9588963963963965,1.969345830858657
23,10.0,42.98688739516847,3.5827835391603884,26.86524593448343,5.953486948872136,9.238714254021158,0.7646836904384603,6.501381612381279,0.9488636363636364,2.157801524411498
24,10.0,44.43450187666727,3.585263397815648,27.076783556845182,6.041696411332271,9.33886873896478,0.7625406520570385,5.054188020788563,0.9688737973967176,2.2181395814665867
25,10.0,45.71273726825334,3.586799631331303,27.28128021160238,6.103879831740596,9.46540553320958,0.7642995984361413,5.627378540947145,0.9564507348938488,1.8872569098901113
