slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity
0,10.0,31.887663416930955,3.3171306977642936,21.638723843836416,5.347855508153678,7.392624565686081,0.6904591802394504,3.265099119041387,0.982885085574572
1,10.0,32.03893509620425,3.316770759208919,21.962254275302957,5.573439632873537,7.232373960985534,0.6373325816765387,11.289753315950549,0.9584964761158966
2,10.0,33.39835605274062,3.316324155507853,22.27915742863362,5.697671498013907,7.540612802763977,0.6550752327768417,8.061071369660262,0.9544787077826724
3,10.0,32.473291506410405,3.315790886426275,22.58949328646633,5.28786270202343,7.791924405644494,0.7345053129964616,5.417569817394334,0.9819607843137256
4,10.0,31.55342352744316,3.3151709516838643,22.89332203166646,5.4219461963676325,7.282344209118989,0.6676232373149732,4.141664451600845,0.9621273166800968
5,10.0,33.21904039538206,3.3144643509548364,23.19070393970118,5.334178126623628,7.838448298147146,0.7327632414525226,0.8099679144518199,0.9890965732087228
6,10.0,32.511711909773794,3.313671083867983,23.48169927722774,5.497620763921494,7.6164765302721,0.6921292786050346,2.2063113822096865,0.959059893858984
7,10.0,31.180983512609178,3.3127911500067286,23.766368206671263,5.346606973285701,7.421687618121302,0.6935895232883066,3.1867560781305064,0.9805825242718448
8,10.0,33.57378214225244,3.3118245489091733,24.044770696564967,5.486721048279233,7.701500989686372,0.701783814398178,4.052218051328367,0.953020134228188
9,10.0,31.14464119063168,3.3107712800681592,24.316966437423808,5.038388722389111,7.683389872771276,0.7550032881010224,3.274934299863238,0.9808811305070656
10,10.0,32.76971123489497,3.309631342931335,24.583014762922293,5.224094347314655,8.021745082826094,0.7588957924134114,3.006637806489588,0.9694656488549618
11,9.0,33.35836373156257,3.308404736901226,24.842974576147974,5.174388681168275,8.15927483008515,0.7732150958865932,5.508264005120204,0.9706766917293234
12,9.0,32.29545184206904,3.3070914613353164,25.096904280704223,5.207794035002048,7.878750444803066,0.750419026388639,13.085492066535094,0.9440613026819924
13,9.0,31.97099204484732,3.3056915155461217,25.344861716438167,5.240027794483438,7.6180416683352945,0.7258876806382587,5.211149831313274,0.979740680713128
14,9.0,33.51874267896727,3.304204898801294,25.58690409957373,5.489876384156608,7.639098509505439,0.6954004943615686,9.649260447416475,0.960843373493976
15,9.0,33.65754619002855,3.3026316103237026,25.82308796703341,5.637547560095082,7.699855159075412,0.6811653753892042,0.7700054253041838,0.9605839416058394
