slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity
0,10.0,39.740967105673526,-5.587661127579224,25.07805070947153,5.744572081258825,8.703876072199671,0.751263809713514,4.068055587218842,0.9680715197956578
1,10.0,40.457986520853225,-5.4966322021101535,25.527570615314037,6.173485747120142,8.276695251999936,0.6660710859748521,3.161018208046366,0.968886123210952
2,10.0,39.62980384488785,-5.404312222026951,25.95837649131989,5.72896562983222,8.594072001744482,0.7453988543371677,2.304620002350393,0.9720052083333334
3,10.0,42.51461153035251,-5.310700488659957,26.3707891403453,6.246381674714428,8.738568685351433,0.6993222721738908,0.4380097690794504,0.9705188679245284
4,10.0,41.58055886545239,-5.215796327264713,26.765121719412782,5.798098943607574,9.128693479262925,0.7723876261852025,0.939397848883724,0.9527794381350868
5,10.0,42.85313011449357,-5.119599088459754,27.1416789527736,6.164145341713579,8.77664668750891,0.7118462023560254,1.8563138299411728,0.961943793911007
6,10.0,42.0608990107725,-5.022108149686737,27.50075645003328,5.962269939282919,8.910461154849346,0.7431436470460846,0.7898538326429618,0.9647550776583036
7,10.0,41.00862988493408,-4.923322916692828,27.84264011890286,6.029514434711938,8.646567495510064,0.7167493639359718,1.400400425010106,0.963914373088685
8,10.0,38.81649548444797,-4.82324282503529,28.167605662791328,5.732981794595447,8.599867226120443,0.7453829472082647,0.263435167398457,0.9789612097304404
9,10.0,38.36798995044333,-4.72186734160809,28.47591815411552,5.70109969259957,8.551657258502464,0.745356130927712,0.1328714186774706,0.979564930784443
10,10.0,40.15065204550195,-4.6191959661904844,28.76783167486266,5.728227908182115,8.849655045605335,0.7622497276791305,1.0051067255219472,0.9642633228840124
11,10.0,40.0940367830004,-4.515228233017371,29.043589016586512,5.747501735722508,8.806146075245993,0.7576424838604897,1.537379110614162,0.9772296015180264
12,10.0,38.05370135070423,-4.409963712371289,29.303421432644686,5.578710570676868,8.615846192058422,0.7620699959222761,6.545865544405912,0.9718120805369128
13,9.0,39.87194386602588,-4.303402012195871,29.547548436086878,5.716504241345437,8.868769166532317,0.7645485760430621,1.953035522618893,0.9814696485623003
14,9.0,43.214405723675696,-4.195542779730556,29.776177637176836,6.226898051153778,8.831561802487208,0.709134003200785,2.59817983287482,0.9659156556903524
15,9.0,44.351847825516806,-4.08638570316633,29.98950461507486,6.073708467739018,9.245930131140264,0.7539719602606479,2.4843305481927658,0.9710720363017584
16,9.0,43.64749547610127,-3.9759305133223006,30.187712818718023,5.935540072634242,9.301370809324268,0.769923262035331,1.4500186829490436,0.9619596541786744
17,9.0,41.707377606166375,-3.864176985342791,30.37097349241511,5.900746627831701,8.979434950797213,0.7537680892233249,3.667092332570366,0.952465834818776
18,9.0,45.11623240946977,-3.751124940414709,30.53944562212036,6.451800309142064,8.919549084579733,0.6904993122125379,5.769927670538039,0.9576923076923076
19,9.0,43.46421429768052,-3.636774247504877,30.69327589876708,5.900184184334835,9.318127744948423,0.7739926372640878,3.5575402578351523,0.958166189111748
20,9.0,43.953556965030565,-3.5211248251170177,30.8325986954285,5.887382448922006,9.414253337879227,0.7803288125546123,0.1906124361027368,0.970183486238532
21,9.0,44.78005420764463,-3.4041766430680083,30.957536055433103,5.961580407208896,9.473377153519897,0.7771634852121071,0.4152448281320076,0.9636465324384788
22,9.0,45.02259375498813,-3.285929724283063,31.06819768889381,6.219299851242456,9.20846863363451,0.737461102214518,3.7481359354405455,0.9641280353200884
23,9.0,44.84880717604736,-3.1663841466094444,31.16468097541986,6.019403641454696,9.439133955341765,0.7702785129908972,0.0129163703748113,0.9595343680709536
24,9.0,46.38625246399914,-3.045540044648266,31.247070971066588,6.237040203428517,9.360588433081965,0.7456757384538829,2.646353918291518,0.9813084112149532
25,9.0,44.78209947605336,-2.9233976116039373,31.31544041784575,5.742941452191581,9.867146184804284,0.8131694741018602,1.823629191247504,0.9845978322875072
26,9.0,46.79908979083687,-2.799957101150798,31.369849754368325,6.119770799258656,9.678099107829176,0.7746972516707608,0.8308063111688985,0.969811320754717
27,9.0,46.311228979578665,-2.675218829316412,31.41034712642585,6.157681056505611,9.564236788320558,0.7651736123811235,1.0451992738067644,0.9692556634304208
28,9.0,46.93320639439717,-2.5491831763810016,31.436968396537832,5.989187267551427,9.969768464674754,0.7994480392971773,2.031248105729265,0.9742351046698872
29,9.0,49.43611982975315,-2.4218505887924686,31.44973715170248,6.58328935066519,9.627840602772102,0.7296912542868281,2.381056638584268,0.970336852689794
