slice,VertLevel,area,angle_AP,angle_RL,diameter_AP,diameter_RL,eccentricity,orientation,solidity
1,11.0,40.95142308341864,-1.4150245918784397,16.8180638707105,6.121724687501343,8.343605566987463,0.6794692054035463,10.368905472887572,0.9682242990654204
2,11.0,40.28667985842944,-1.4803271416614014,17.041377413021717,6.1306897001010885,8.25423654889809,0.6695866056827954,7.748997410787525,0.965043695380774
3,11.0,42.33099970670699,-1.544644173637865,17.2585656026247,6.380880121777147,8.53739079577595,0.6643681188098066,7.589684697850823,0.9717978848413632
4,11.0,43.54748917610236,-1.607975700580826,17.469663277542693,6.48170822836428,8.57615336379979,0.654820763849104,5.40260257006018,0.9563244469654
5,11.0,45.20397215149174,-1.6703217471861525,17.674704999950645,6.727655493397105,8.612752675164806,0.6243699402132658,8.268785551265877,0.968184311574328
6,10.0,43.11583570474215,-1.7316823495096592,17.87372499474882,6.199264948680899,8.76461183813371,0.7069058076788968,9.735798114041057,0.985773562537048
7,10.0,44.27528347161015,-1.79205755441291,18.066757091406675,6.721357216439048,8.200615012701636,0.5729105703028058,9.48200744071548,0.973395026026605
8,10.0,44.22118908104147,-1.8514474190177777,18.253834668955363,6.710755705087776,8.243219445959065,0.5807307900813363,7.428283812511028,0.9706896551724138
9,10.0,42.35300488886108,-1.909852010169783,18.434990604007947,6.361852059511801,8.308694799595642,0.6432125994738701,2.747356441297144,0.9578134284016636
10,10.0,43.70610556098894,-1.9672714039102628,18.610257221687032,6.843732036735228,8.08060843588259,0.5316972893401765,6.184153656362573,0.9791062100986652
11,10.0,42.614075442036345,-2.023705684957359,18.779666249341723,6.617725205528282,8.256605172642544,0.5979834964735166,2.715507986930126,0.9754529514903564
12,10.0,42.57304339861207,-2.0791549461958785,18.94324877293682,6.441917206774614,8.406069278159352,0.642431945344026,6.424833780533861,0.9915966386554622
13,10.0,43.02105308747837,-2.1336192881760145,19.101035196000204,6.766608791847696,8.137024009600987,0.5553983704287048,3.873789775475649,0.9743739079790332
14,10.0,43.33964154876813,-2.187098818620972,19.25305520101633,6.664361054054462,8.245462709652609,0.5888429419581014,2.3879749522772435,0.9472490073737948
15,10.0,42.672203033860285,-2.239593651943488,19.399337713156715,6.435587045676856,8.269378729339085,0.627961161334393,1.9063892761373944,0.9626334519572952
16,10.0,42.6289136442771,-2.291103908771275,19.539910866241332,6.516705118006638,8.1717208823474,0.6033560151829195,2.93481225229891,0.974820143884892
17,10.0,40.7875201682464,-2.3416297154813805,19.674801970827943,6.209772980646699,8.180836230695217,0.6510149827712423,0.091068883416745,0.99234205488194
18,10.0,43.24903527152177,-2.3911712037434825,19.80403748432984,6.669103233918604,8.188916997461119,0.580293183860262,6.651235113745872,0.9742840444184688
19,10.0,45.27230069323598,-2.439728510072118,19.92764298306575,6.950841480081755,8.338424387660973,0.552378546016525,4.3442256787053966,0.9697802197802198
20,10.0,42.88187520025005,-2.4873017753878552,20.0456431361496,6.462981726785706,8.474904037379908,0.6468657646108604,2.732220260257129,0.9863824748371818
21,10.0,45.241129536190144,-2.533891144587402,20.158061681131095,6.923537512351219,8.343361076425044,0.558019825809552,3.3535056199266,0.9767699115044248
22,10.0,45.20911119680321,-2.579496766122649,20.26492140130212,6.875512690587891,8.390407993097389,0.5731495357934984,1.566528238410546,0.975609756097561
23,10.0,45.59879643313237,-2.624118791588665,20.36624410458769,6.887921509442297,8.376280427792166,0.5690335270461738,0.2547462023341239,0.975609756097561
24,10.0,45.9112679135664,-2.6677573753206185,20.462050603944,6.838232087974954,8.432145719897983,0.5850830300960005,1.557543914804998,0.974571586511885
25,10.0,45.2828483379033,-2.71041267399962,20.552360699189933,6.680632984676808,8.449071742814068,0.6122091036661572,8.09758703632654,0.979510529311326
26,10.0,44.061545121295495,-2.7520848462675103,20.63719316020234,6.6543042257410505,8.28799861010953,0.5961326666759701,5.486579246781719,0.9745222929936306
27,10.0,44.62864051056171,-2.7927740523505555,20.71656571140927,6.723076852950518,8.291612237920466,0.58528133107427,4.324415536629144,0.9826689774696707
28,10.0,46.40499822868644,-2.8324804536920443,20.790495017519167,7.090683018159721,8.24834696559389,0.5108822425749036,3.230279432364464,0.9647314161692891
29,10.0,45.97620765070211,-2.8712042125938,20.85899667042792,6.909268247111478,8.407597679160729,0.5697900640249732,3.7912620185080064,0.9790055248618784
30,9.0,44.29081581755763,-2.908945491866572,20.92208517724956,6.692036531477329,8.353583386022233,0.5985314319167466,9.283442019725925,0.9810779816513762
