filename,compression_level,slice(I->S),diameter_AP_ratio,diameter_AP_ratio_PAM50,diameter_AP_ratio_PAM50_normalized
seg/sub-barcelona01_T2w_seg.nii.gz,4.0,124,3.240822466494276,3.1545896565709386,5.040774735798436
seg/sub-barcelona02_T2w_seg.nii.gz,4.0,149,-5.013843195728462,-5.221219212724204,0.2019193809051023
seg/sub-barcelona02_T2w_seg.nii.gz,6.0,169,6.436301944729717,6.2515370942334725,7.452128304649285
seg/sub-barcelona03_T2w_seg.nii.gz,4.0,177,3.313777888866165,4.268994046006814,6.060887596880315
seg/sub-barcelona04_T2w_seg.nii.gz,4.0,191,7.903306350697314,7.979634980098837,9.648439651123574
seg/sub-beijingGE04_T2w_seg.nii.gz,5.0,73,-2.6561367255101054,-2.963727103334568,1.3456311638258445
seg/sub-beijingGE04_T2w_seg.nii.gz,6.0,88,3.947748776123428,5.190068471789012,1.4788645407633694
seg/sub-beijingPrisma02_T2w_seg.nii.gz,3.0,154,9.209426876720883,9.112691324162316,9.314758346389574
seg/sub-beijingPrisma03_T2w_seg.nii.gz,5.0,154,6.847175287876251,6.786068940317724,8.493732958211764
seg/sub-beijingVerio04_T2w_seg.nii.gz,5.0,94,-1.9633092662764808,-1.6823699811973958,2.9022454649164087
seg/sub-beijingVerio04_T2w_seg.nii.gz,6.0,111,10.830703906181204,10.58020706992554,7.975790674403727
seg/sub-brnoCeitec04_T2w_seg.nii.gz,5.0,119,1.702998483599416,1.8848577919275744,3.798764970461788
seg/sub-cardiff05_T2w_seg.nii.gz,4.0,146,1.3101879048830978,1.5714390744445694,3.5014649568036016
seg/sub-cardiff06_T2w_seg.nii.gz,6.0,120,-1.7682571821900694,-1.865307121280924,0.1130385972516134
seg/sub-cmrrb05_T2w_seg.nii.gz,3.0,140,20.385226968804048,21.429553396766,23.26972629320939
seg/sub-cmrrb05_T2w_seg.nii.gz,4.0,164,11.993466958868904,13.618050304782614,14.971445432651343
seg/sub-cmrrb06_T2w_seg.nii.gz,5.0,126,-1.1409107959387876,-0.2680293313004345,1.8200688699731904
seg/sub-fslAchieva06_T2w_seg.nii.gz,5.0,119,2.2475368070943524,1.983120434693575,4.418018216542308
seg/sub-fslPrisma02_T2w_seg.nii.gz,5.0,124,0.2371553440899565,-0.8192515319479066,1.383249873823178
seg/sub-geneva06_T2w_seg.nii.gz,6.0,121,2.3324369226855546,2.551913948798424,4.560200165249373
seg/sub-hamburg02_T2w_seg.nii.gz,4.0,141,-0.5734103539732027,-0.7370658186465651,1.1403698613572155
seg/sub-hamburg05_T2w_seg.nii.gz,6.0,118,2.813551394618674,2.876046934889087,4.874092272686125
seg/sub-juntendo750w03_T2w_seg.nii.gz,3.0,160,9.04265757156628,8.970085398941185,9.1666776968916
seg/sub-juntendo750w04_T2w_seg.nii.gz,5.0,120,3.708355122501372,3.650232473032611,6.739004728394271
seg/sub-mgh03_T2w_seg.nii.gz,3.0,124,-4.250201790746355,-6.103396567999631,-5.244318614967503
seg/sub-mgh03_T2w_seg.nii.gz,4.0,141,-5.607162162163037,-6.549495650117998,-5.629806478828758
seg/sub-mgh03_T2w_seg.nii.gz,4.0,158,4.81414672300331,3.007045549701892,3.7718316377019057
seg/sub-mniS05_T2w_seg.nii.gz,3.0,136,16.64163757869548,16.895607137632197,19.040922863735688
seg/sub-mniS05_T2w_seg.nii.gz,4.0,162,7.042067847430699,8.421870075012283,10.174207359038013
seg/sub-mniS06_T2w_seg.nii.gz,5.0,119,0.7887532030539379,1.3354027040656358,3.808055229915097
seg/sub-mountSinai01_T2w_seg.nii.gz,5.0,107,5.383435403994641,5.381928756291254,7.731262251207804
seg/sub-mountSinai03_T2w_seg.nii.gz,5.0,118,6.073989268984537,5.798454509699669,7.630499486599119
seg/sub-mountSinai04_T2w_seg.nii.gz,7.0,101,4.136897211945811,5.092941792491579,2.8398824323492167
seg/sub-nwu01_T2w_seg.nii.gz,5.0,158,8.418226557700436,8.268464404106602,10.236495642594468
seg/sub-oxfordFmrib08_T2w_seg.nii.gz,4.0,118,11.627664201515998,11.719339623870129,16.537311583036406
seg/sub-oxfordFmrib08_T2w_seg.nii.gz,5.0,138,14.968764797353815,15.083179366067244,17.48856302164897
seg/sub-oxfordFmrib09_T2w_seg.nii.gz,4.0,137,1.6762413683240718,1.4808262925710247,3.424314767386316
seg/sub-oxfordFmrib11_T2w_seg.nii.gz,6.0,114,5.629097084660984,5.8285584311546295,7.809543569813837
seg/sub-pavia01_T2w_seg.nii.gz,3.0,158,5.858825614742136,5.442171760478543,5.585791654272487
seg/sub-perform03_T2w_seg.nii.gz,3.0,116,-3.10597317310406,-2.8715039508768747,2.23510422458002
seg/sub-perform03_T2w_seg.nii.gz,5.0,157,6.913739363815374,6.599975100141176,9.110595207131444
seg/sub-queensland02_T2w_seg.nii.gz,4.0,113,2.091565984741428,1.4090654660708912,6.702658896504666
seg/sub-queensland02_T2w_seg.nii.gz,5.0,135,10.57446671393133,10.302767758182585,11.825926068581062
seg/sub-queensland06_T2w_seg.nii.gz,5.0,90,2.047216084748172,1.911631985145912,6.818126177811424
seg/sub-queensland06_T2w_seg.nii.gz,6.0,110,9.410273993858851,9.207860148216874,6.110204404246844
seg/sub-sherbrooke01_T2w_seg.nii.gz,5.0,117,15.343221455235875,15.71390712303964,17.85767828741448
seg/sub-sherbrooke03_T2w_seg.nii.gz,4.0,141,9.972390148291554,10.2857299276653,11.876699214373964
seg/sub-tehranS04_T2w_seg.nii.gz,4.0,124,3.8908964540840585,4.580669752821754,9.714858858696871
seg/sub-tehranS04_T2w_seg.nii.gz,5.0,141,3.981458495607626,4.677399118748493,7.237319553436206
seg/sub-tokyo750w01_T2w_seg.nii.gz,4.0,134,0.8126246118901448,0.8387614769976626,2.779347484100503
seg/sub-tokyo750w02_T2w_seg.nii.gz,4.0,95,2.823904330904448,2.6367830828747385,10.47765576506634
seg/sub-tokyo750w02_T2w_seg.nii.gz,5.0,115,12.300413210796057,12.338965959519388,17.136751247984062
seg/sub-tokyo750w02_T2w_seg.nii.gz,6.0,136,66.84617226981055,73.53119494423383,72.73564539731166
seg/sub-tokyo750w03_T2w_seg.nii.gz,3.0,112,3.394041027877148,4.036691241906409,9.9415207613599
seg/sub-tokyo750w03_T2w_seg.nii.gz,4.0,135,-0.2272070605001896,0.5212476379260256,5.741541437712883
